model,dataset,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,inference_time_ms,model_size_mb,f1_class_1,recall_class_1,precision_class_1,f1_class_2,recall_class_2,precision_class_2,mean_security_recall,security_f1,threat_detection_rate,f1_minority_mean,recall_minority_mean,security_score
svm,original,0.9979729729729729,0.9664039116175659,0.9978917089751647,0.9925267799692329,0.9443499354188325,0,0,0.9016393442622951,0.8333333333333334,0.9821428571428571,0.9978559176672385,1.0,0.9957210098416773,0.9166666666666667,0.9514290514296411,0.9995821145006268,0.9497476309647668,0.9166666666666667,0.9464821419526988
knn,original,0.9979729729729729,0.9664280086676568,0.9978914011371868,0.9925744079975978,0.9443499354188325,0,0,0.9016393442622951,0.8333333333333334,0.9821428571428571,0.9980699120737723,1.0,0.9961472602739726,0.9166666666666667,0.9515276739940913,0.9991642290012537,0.9498546281680337,0.9166666666666667,0.9464413637341309
logistic_regression,original,0.9979729729729729,0.9664039116175659,0.9978917089751647,0.9925267799692329,0.9443499354188325,0,0,0.9016393442622951,0.8333333333333334,0.9821428571428571,0.9978559176672385,1.0,0.9957210098416773,0.9166666666666667,0.9514290514296411,0.9995821145006268,0.9497476309647668,0.9166666666666667,0.9464821419526988
random_forest,original,0.9971283783783784,0.9574432549686341,0.9971796058050426,0.9474958518509536,0.9681700011383395,0,0,0.8759124087591241,0.9090909090909091,0.8450704225352113,0.9965591397849463,0.9957026214009455,0.9974171330176496,0.9523967652459273,0.9365612764325565,1.0,0.9362357742720352,0.9523967652459273,0.955453015807185
svm,undersampled,0.9979729729729729,0.9664039116175659,0.9978917089751647,0.9925267799692329,0.9443499354188325,0,0,0.9016393442622951,0.8333333333333334,0.9821428571428571,0.9978559176672385,1.0,0.9957210098416773,0.9166666666666667,0.9514290514296411,0.9995821145006268,0.9497476309647668,0.9166666666666667,0.9464821419526988
knn,undersampled,0.9981418918918918,0.969451830229331,0.9980753794546078,0.9927732911826713,0.9494004404693376,0,0,0.9105691056910569,0.8484848484848485,0.9824561403508771,0.9980699120737723,1.0,0.9961472602739726,0.9242424242424243,0.9556660704004255,0.9995821145006268,0.9543195088824146,0.9242424242424243,0.951341196150061
logistic_regression,undersampled,0.9979729729729729,0.9664039116175659,0.9978917089751647,0.9925267799692329,0.9443499354188325,0,0,0.9016393442622951,0.8333333333333334,0.9821428571428571,0.9978559176672385,1.0,0.9957210098416773,0.9166666666666667,0.9514290514296411,0.9995821145006268,0.9497476309647668,0.9166666666666667,0.9464821419526988
random_forest,undersampled,0.9971283783783784,0.9574432549686341,0.9971796058050426,0.9474958518509536,0.9681700011383395,0,0,0.8759124087591241,0.9090909090909091,0.8450704225352113,0.9965591397849463,0.9957026214009455,0.9974171330176496,0.9523967652459273,0.9365612764325565,1.0,0.9362357742720352,0.9523967652459273,0.955453015807185
svm,oversampled,0.9976351351351351,0.9620591435565342,0.9975804480281346,0.9763514477250036,0.9491169133925017,0,0,0.8888888888888888,0.8484848484848485,0.9333333333333333,0.9978559176672385,1.0,0.9957210098416773,0.9242424242424243,0.9439551849671114,1.0,0.9433724032780637,0.9242424242424243,0.9470459310081953
knn,oversampled,0.9853040540540541,0.8536774536704455,0.9878575701568227,0.8076241134751774,0.9582889951902818,0,0,0.5797101449275363,0.9090909090909091,0.425531914893617,0.9818895919703251,0.9669101847872797,0.9973404255319149,0.9380005469390944,0.809158066856104,1.0,0.7807998684489307,0.9380005469390944,0.8875201661552101
logistic_regression,oversampled,0.997804054054054,0.9644768153676404,0.9977442706426212,0.9816245174048529,0.9492114224181137,0,0,0.896,0.8484848484848485,0.9491525423728814,0.9978559176672385,1.0,0.9957210098416773,0.9242424242424243,0.9477272893249751,1.0,0.9469279588336192,0.9242424242424243,0.9484681532304176
random_forest,oversampled,0.9628378378378378,0.7678509032250784,0.9733440903798093,0.7387159711701785,0.9390910726180702,0,0,0.35294117647058826,0.9090909090909091,0.21897810218978103,0.9507533168428154,0.9084658358401375,0.9971698113207547,0.9087783724655233,0.7286199802976168,1.0,0.6518472466567018,0.9087783724655233,0.82425024764889
